,ef_id,category_ipcc_1996,category_ipcc_2006,gas,description,region,value_original,unit_original,value_canonical,unit_canonical,equation,technical_reference,source_of_data,data_provider
556,43247,"4B1b - Non-Dairy
","3.A.2.a.ii - Other cattle
","METHANE
",Manure Management Emission Factor,Climate: Temp; Region: Indian Subcontinent,2,kg/head/yr,,,Equation 4.15 on Page 4.30 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Crutzen, P.J., I. Aselmann and W. Seiler (1986), ""Methane Production by Domestic Animals, Wild Ruminants, Other Herbivorous Fauna, and Humans,""  Tellus 38B:271-284 

Gibbs, M.J. and D.E. Johnson (1993), ""Livestock Emissions.""  In: International Methane Emissions, US Environmental Protection Agency, Climate Change Division, Washington, D.C., U.S.A 

Safley, L.M., M.E. Casada, J.W. Woodbury, and K.F. Roos (1992), Global Methane Emissions from Livestock and Poultry Manure. US Environmental Protection Agency, Global Change Division, Washington, D.C., February 1992, EPA/400/1091/048.  

Woodbury, J.W. and A. Hashimoto (1993), ""Methane Emissions from Livestock Manure.""  In International Methane Emissions, US Environmental Protection Agency, Climate Change Division, Washington, D.C., U.S.A.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-6 on Page 4.13 of the Reference Manual),IPCC
557,43248,"4B1b - Non-Dairy
","3.A.2.a.ii - Other cattle
","METHANE
",Manure Management Emission Factor,Climate: Warm; Region: Indian Subcontinent,2,kg/head/yr,,,Equation 4.15 on Page 4.30 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Crutzen, P.J., I. Aselmann and W. Seiler (1986), ""Methane Production by Domestic Animals, Wild Ruminants, Other Herbivorous Fauna, and Humans,""  Tellus 38B:271-284 

Gibbs, M.J. and D.E. Johnson (1993), ""Livestock Emissions.""  In: International Methane Emissions, US Environmental Protection Agency, Climate Change Division, Washington, D.C., U.S.A 

Safley, L.M., M.E. Casada, J.W. Woodbury, and K.F. Roos (1992), Global Methane Emissions from Livestock and Poultry Manure. US Environmental Protection Agency, Global Change Division, Washington, D.C., February 1992, EPA/400/1091/048.  

Woodbury, J.W. and A. Hashimoto (1993), ""Methane Emissions from Livestock Manure.""  In International Methane Emissions, US Environmental Protection Agency, Climate Change Division, Washington, D.C., U.S.A.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-6 on Page 4.13 of the Reference Manual),IPCC
558,43249,"4B8 - Swine
","3.A.2.h - Swine
","METHANE
",Manure Management Emission Factor,Climate: Cool; Region: Indian Subcontinent,3,kg/head/yr,,,Equation 4.15 on Page 4.30 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Crutzen, P.J., I. Aselmann and W. Seiler (1986), ""Methane Production by Domestic Animals, Wild Ruminants, Other Herbivorous Fauna, and Humans,""  Tellus 38B:271-284 

Safley, L.M., M.E. Casada, J.W. Woodbury, and K.F. Roos (1992), Global Methane Emissions from Livestock and Poultry Manure. US Environmental Protection Agency, Global Change Division, Washington, D.C., February 1992, EPA/400/1091/048.  

Woodbury, J.W. and A. Hashimoto (1993), ""Methane Emissions from Livestock Manure.""  In International Methane Emissions, US Environmental Protection Agency, Climate Change Division, Washington, D.C., U.S.A.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-6 on Page 4.13 of the Reference Manual),IPCC
559,43250,"4B8 - Swine
","3.A.2.h - Swine
","METHANE
",Manure Management Emission Factor,Climate: Temp; Region: Indian Subcontinent,4,kg/head/yr,,,Equation 4.15 on Page 4.30 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Crutzen, P.J., I. Aselmann and W. Seiler (1986), ""Methane Production by Domestic Animals, Wild Ruminants, Other Herbivorous Fauna, and Humans,""  Tellus 38B:271-284 

Safley, L.M., M.E. Casada, J.W. Woodbury, and K.F. Roos (1992), Global Methane Emissions from Livestock and Poultry Manure. US Environmental Protection Agency, Global Change Division, Washington, D.C., February 1992, EPA/400/1091/048.  

Woodbury, J.W. and A. Hashimoto (1993), ""Methane Emissions from Livestock Manure.""  In International Methane Emissions, US Environmental Protection Agency, Climate Change Division, Washington, D.C., U.S.A.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-6 on Page 4.13 of the Reference Manual),IPCC
560,43251,"4B8 - Swine
","3.A.2.h - Swine
","METHANE
",Manure Management Emission Factor,Climate: Warm; Region: Indian Subcontinent,6,kg/head/yr,,,Equation 4.15 on Page 4.30 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Crutzen, P.J., I. Aselmann and W. Seiler (1986), ""Methane Production by Domestic Animals, Wild Ruminants, Other Herbivorous Fauna, and Humans,""  Tellus 38B:271-284 

Safley, L.M., M.E. Casada, J.W. Woodbury, and K.F. Roos (1992), Global Methane Emissions from Livestock and Poultry Manure. US Environmental Protection Agency, Global Change Division, Washington, D.C., February 1992, EPA/400/1091/048.  

Woodbury, J.W. and A. Hashimoto (1993), ""Methane Emissions from Livestock Manure.""  In International Methane Emissions, US Environmental Protection Agency, Climate Change Division, Washington, D.C., U.S.A.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-6 on Page 4.13 of the Reference Manual),IPCC
561,43252,"4B2 - Buffalo
","3.A.2.b - Buffalo
","METHANE
",Manure Management Emission Factor,Climate: Cool; Region: Indian Subcontinent,4,kg/head/yr,,,Equation 4.15 on Page 4.30 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Crutzen, P.J., I. Aselmann and W. Seiler (1986), ""Methane Production by Domestic Animals, Wild Ruminants, Other Herbivorous Fauna, and Humans,""  Tellus 38B:271-284 

Gibbs, M.J. and D.E. Johnson (1993), ""Livestock Emissions.""  In: International Methane Emissions, US Environmental Protection Agency, Climate Change Division, Washington, D.C., U.S.A 

Safley, L.M., M.E. Casada, J.W. Woodbury, and K.F. Roos (1992), Global Methane Emissions from Livestock and Poultry Manure. US Environmental Protection Agency, Global Change Division, Washington, D.C., February 1992, EPA/400/1091/048.  

Woodbury, J.W. and A. Hashimoto (1993), ""Methane Emissions from Livestock Manure.""  In International Methane Emissions, US Environmental Protection Agency, Climate Change Division, Washington, D.C., U.S.A.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-6 on Page 4.13 of the Reference Manual),IPCC
562,43253,"4B2 - Buffalo
","3.A.2.b - Buffalo
","METHANE
",Manure Management Emission Factor,Climate: Temp; Region: Indian Subcontinent,5,kg/head/yr,,,Equation 4.15 on Page 4.30 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Crutzen, P.J., I. Aselmann and W. Seiler (1986), ""Methane Production by Domestic Animals, Wild Ruminants, Other Herbivorous Fauna, and Humans,""  Tellus 38B:271-284 

Gibbs, M.J. and D.E. Johnson (1993), ""Livestock Emissions.""  In: International Methane Emissions, US Environmental Protection Agency, Climate Change Division, Washington, D.C., U.S.A 

Safley, L.M., M.E. Casada, J.W. Woodbury, and K.F. Roos (1992), Global Methane Emissions from Livestock and Poultry Manure. US Environmental Protection Agency, Global Change Division, Washington, D.C., February 1992, EPA/400/1091/048.  

Woodbury, J.W. and A. Hashimoto (1993), ""Methane Emissions from Livestock Manure.""  In International Methane Emissions, US Environmental Protection Agency, Climate Change Division, Washington, D.C., U.S.A.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-6 on Page 4.13 of the Reference Manual),IPCC
563,43254,"4B2 - Buffalo
","3.A.2.b - Buffalo
","METHANE
",Manure Management Emission Factor,Climate: Warm; Region: Indian Subcontinent,5,kg/head/yr,,,Equation 4.15 on Page 4.30 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Crutzen, P.J., I. Aselmann and W. Seiler (1986), ""Methane Production by Domestic Animals, Wild Ruminants, Other Herbivorous Fauna, and Humans,""  Tellus 38B:271-284 

Gibbs, M.J. and D.E. Johnson (1993), ""Livestock Emissions.""  In: International Methane Emissions, US Environmental Protection Agency, Climate Change Division, Washington, D.C., U.S.A 

Safley, L.M., M.E. Casada, J.W. Woodbury, and K.F. Roos (1992), Global Methane Emissions from Livestock and Poultry Manure. US Environmental Protection Agency, Global Change Division, Washington, D.C., February 1992, EPA/400/1091/048.  

Woodbury, J.W. and A. Hashimoto (1993), ""Methane Emissions from Livestock Manure.""  In International Methane Emissions, US Environmental Protection Agency, Climate Change Division, Washington, D.C., U.S.A.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-6 on Page 4.13 of the Reference Manual),IPCC
624,43315,"4A1b - Non-Dairy
","3.A.1.a.ii - Other Cattle
","METHANE
",Data for Estimating Enteric Fermentation Emission Factors for Non-Dairy Cattle,Region: Indian Subcontinent,31,kg/head/yr,,,Equation 4.12 on Page 4.25 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Gibbs, M.J. and D.E. Johnson (1993), ""Livestock Emissions.""  In: International Methane Emissions, US Environmental Protection Agency, Climate Change Division, Washington, D.C., U.S.A.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table A-2 on Pages 4.32 - 4.33 of the Reference Manual),IPCC
625,43316,"4A1b - Non-Dairy
","3.A.1.a.ii - Other Cattle
","METHANE
",Data for Estimating Enteric Fermentation Emission Factors for Non-Dairy Cattle,Region: Indian Subcontinent,41,kg/head/yr,,,Equation 4.12 on Page 4.25 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Gibbs, M.J. and D.E. Johnson (1993), ""Livestock Emissions.""  In: International Methane Emissions, US Environmental Protection Agency, Climate Change Division, Washington, D.C., U.S.A.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table A-2 on Pages 4.32 - 4.33 of the Reference Manual),IPCC
626,43317,"4A1b - Non-Dairy
","3.A.1.a.ii - Other Cattle
","METHANE
",Data for Estimating Enteric Fermentation Emission Factors for Non-Dairy Cattle,Region: Indian Subcontinent,17,kg/head/yr,,,Equation 4.12 on Page 4.25 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Gibbs, M.J. and D.E. Johnson (1993), ""Livestock Emissions.""  In: International Methane Emissions, US Environmental Protection Agency, Climate Change Division, Washington, D.C., U.S.A.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table A-2 on Pages 4.32 - 4.33 of the Reference Manual),IPCC
627,43318,"4A2 - Buffalo
","3.A.1.b - Buffalo
","METHANE
",Data for Estimating Enteric Fermentation Emission Factors for Buffalo,Region: Indian Subcontinent,55-77,kg/head/yr,,,Equation 4.12 on Page 4.25 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Gibbs, M.J. and D.E. Johnson (1993), ""Livestock Emissions.""  In: International Methane Emissions, US Environmental Protection Agency, Climate Change Division, Washington, D.C., U.S.A.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table A-3 on Page 4.34 of the Reference Manual),IPCC
628,43319,"4A2 - Buffalo
","3.A.1.b - Buffalo
","METHANE
",Data for Estimating Enteric Fermentation Emission Factors for Buffalo,Region: Indian Subcontinent,57-80,kg/head/yr,,,Equation 4.12 on Page 4.25 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Gibbs, M.J. and D.E. Johnson (1993), ""Livestock Emissions.""  In: International Methane Emissions, US Environmental Protection Agency, Climate Change Division, Washington, D.C., U.S.A.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table A-3 on Page 4.34 of the Reference Manual),IPCC
629,43320,"4A2 - Buffalo
","3.A.1.b - Buffalo
","METHANE
",Data for Estimating Enteric Fermentation Emission Factors for Buffalo,Region: Indian Subcontinent,23-50,kg/head/yr,,,Equation 4.12 on Page 4.25 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Gibbs, M.J. and D.E. Johnson (1993), ""Livestock Emissions.""  In: International Methane Emissions, US Environmental Protection Agency, Climate Change Division, Washington, D.C., U.S.A.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table A-3 on Page 4.34 of the Reference Manual),IPCC
642,43333,"4C - Rice Cultivation
","3.C.7 - Rice cultivations
","METHANE
",Representative Methane Emissions from Rice Paddy Fields in Various Locations of the World,"Country: India(Allahabad, Uttar Pradesh)",0.5,g/m2,,,Equation 4.41 on Page 4.77 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Mitra, A.P. (1992), Greenhouse gas emission in India, 1991 methane campaign Council of Scientific and Industrial Research, and Ministry of Environment and Forest. Scientific Report No. 20. NPL, India.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-9 on Page 4.57 of the Reference Manual),IPCC
643,43334,"4C - Rice Cultivation
","3.C.7 - Rice cultivations
","METHANE
",Representative Methane Emissions from Rice Paddy Fields in Various Locations of the World,"Country: India(Barrackpore, West Benegal)","1.8, 6.3",g/m2,,,Equation 4.41 on Page 4.77 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Mitra, A.P. (1992), Greenhouse gas emission in India, 1991 methane campaign Council of Scientific and Industrial Research, and Ministry of Environment and Forest. Scientific Report No. 20. NPL, India.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-9 on Page 4.57 of the Reference Manual),IPCC
644,43335,"4C - Rice Cultivation
","3.C.7 - Rice cultivations
","METHANE
",Representative Methane Emissions from Rice Paddy Fields in Various Locations of the World,"Country: India(Cuttack, Orissa)",7-19,g/m2,,,Equation 4.41 on Page 4.77 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Mitra, A.P. (1992), Greenhouse gas emission in India, 1991 methane campaign Council of Scientific and Industrial Research, and Ministry of Environment and Forest. Scientific Report No. 20. NPL, India.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-9 on Page 4.57 of the Reference Manual),IPCC
645,43336,"4C - Rice Cultivation
","3.C.7 - Rice cultivations
","METHANE
",Representative Methane Emissions from Rice Paddy Fields in Various Locations of the World,"Country: India(Faizabad, Uttar Pradesh)",2,g/m2,,,Equation 4.41 on Page 4.77 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Mitra, A.P. (1992), Greenhouse gas emission in India, 1991 methane campaign Council of Scientific and Industrial Research, and Ministry of Environment and Forest. Scientific Report No. 20. NPL, India.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-9 on Page 4.57 of the Reference Manual),IPCC
646,43337,"4C - Rice Cultivation
","3.C.7 - Rice cultivations
","METHANE
",Representative Methane Emissions from Rice Paddy Fields in Various Locations of the World,"Country: India(Garagacha, West Benegal)",29,g/m2,,,Equation 4.41 on Page 4.77 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Mitra, A.P. (1992), Greenhouse gas emission in India, 1991 methane campaign Council of Scientific and Industrial Research, and Ministry of Environment and Forest. Scientific Report No. 20. NPL, India.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-9 on Page 4.57 of the Reference Manual),IPCC
647,43338,"4C - Rice Cultivation
","3.C.7 - Rice cultivations
","METHANE
",Representative Methane Emissions from Rice Paddy Fields in Various Locations of the World,"Country: India(Jorhat, Assam)",46,g/m2,,,Equation 4.41 on Page 4.77 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Mitra, A.P. (1992), Greenhouse gas emission in India, 1991 methane campaign Council of Scientific and Industrial Research, and Ministry of Environment and Forest. Scientific Report No. 20. NPL, India.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-9 on Page 4.57 of the Reference Manual),IPCC
648,43339,"4C - Rice Cultivation
","3.C.7 - Rice cultivations
","METHANE
",Representative Methane Emissions from Rice Paddy Fields in Various Locations of the World,"Country: India(Kalyani, West Bengal)",10.8,g/m2,,,Equation 4.41 on Page 4.77 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Mitra, A.P. (1992), Greenhouse gas emission in India, 1991 methane campaign Council of Scientific and Industrial Research, and Ministry of Environment and Forest. Scientific Report No. 20. NPL, India.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-9 on Page 4.57 of the Reference Manual),IPCC
649,43340,"4C - Rice Cultivation
","3.C.7 - Rice cultivations
","METHANE
",Representative Methane Emissions from Rice Paddy Fields in Various Locations of the World,"Country: India(Koirapur, West Bengal)",19,g/m2,,,Equation 4.41 on Page 4.77 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Mitra, A.P. (1992), Greenhouse gas emission in India, 1991 methane campaign Council of Scientific and Industrial Research, and Ministry of Environment and Forest. Scientific Report No. 20. NPL, India.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-9 on Page 4.57 of the Reference Manual),IPCC
650,43341,"4C - Rice Cultivation
","3.C.7 - Rice cultivations
","METHANE
",Representative Methane Emissions from Rice Paddy Fields in Various Locations of the World,"Country: India(Madras, Tamil Nadu)",11,g/m2,,,Equation 4.41 on Page 4.77 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Mitra, A.P. (1992), Greenhouse gas emission in India, 1991 methane campaign Council of Scientific and Industrial Research, and Ministry of Environment and Forest. Scientific Report No. 20. NPL, India.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-9 on Page 4.57 of the Reference Manual),IPCC
651,43342,"4C - Rice Cultivation
","3.C.7 - Rice cultivations
","METHANE
",Representative Methane Emissions from Rice Paddy Fields in Various Locations of the World,Country: India(New Delhi),0.06-0.58,g/m2,,,Equation 4.41 on Page 4.77 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Mitra, A.P. (1992), Greenhouse gas emission in India, 1991 methane campaign Council of Scientific and Industrial Research, and Ministry of Environment and Forest. Scientific Report No. 20. NPL, India.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-9 on Page 4.57 of the Reference Manual),IPCC
652,43343,"4C - Rice Cultivation
","3.C.7 - Rice cultivations
","METHANE
",Representative Methane Emissions from Rice Paddy Fields in Various Locations of the World,"Country: India(Purulia, West Bengal)",11,g/m2,,,Equation 4.41 on Page 4.77 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Mitra, A.P. (1992), Greenhouse gas emission in India, 1991 methane campaign Council of Scientific and Industrial Research, and Ministry of Environment and Forest. Scientific Report No. 20. NPL, India.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-9 on Page 4.57 of the Reference Manual),IPCC
653,43344,"4C - Rice Cultivation
","3.C.7 - Rice cultivations
","METHANE
",Representative Methane Emissions from Rice Paddy Fields in Various Locations of the World,"Country: India(Trivandrum, Kerala)",9,g/m2,,,Equation 4.41 on Page 4.77 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Mitra, A.P. (1992), Greenhouse gas emission in India, 1991 methane campaign Council of Scientific and Industrial Research, and Ministry of Environment and Forest. Scientific Report No. 20. NPL, India.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-9 on Page 4.57 of the Reference Manual),IPCC
693,43384,"4C1a - Continuously Flooded
","3.C.7 - Rice cultivations
","METHANE
",Seasonally Integrated Methane Emission Factors for Continuously Flooded Rice without Organic Fertiliser in Various Locations of the World,India,10 (5-15),g/m2,,,Equation 4.41 on Page 4.77 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,,Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-13 on Page 4.70 of the Reference Manual),IPCC
